experiment_id,subject_id,species,tissue,group,time_of_day,body_mass_g,lean_mass_g,fat_mass_g,energy_expenditure_kcal_hr,food_intake_kcal_hr,water_intake_ml_hr,vo2_ml_hr,vco2_ml_hr,rer,locomotor_activity_beam_breaks_hr,pedestrian_locomotion_m_hr,body_temperature_c,distance_in_cage_m_hr,energy_balance_kcal_hr,experiment_start_time,experiment_end_time,experiment_duration_hr,diet_name,diet_kcal_g,age,strain,genetic_background,sex,ambient_temperature_c,quality_score,system,pmid,location,treatment,investigator,total_food_kcal,total_water_ml,total_pedestrian_locomotion_m,total_distance_in_cage_m,wheel_counts,avg_daily_food_intake_kcal_period,avg_daily_water_intake_ml_period,avg_daily_energy_expenditure_kcal_period,avg_daily_energy_balance_kcal_period,avg_daily_pedestrian_locomotion_m_period,avg_daily_distance_in_cage_m_period,litter,bedding,ee_calculation_method,enrichment
churchill_2024,DO-1D-3053_Y1,Mouse,Whole Body,Y1_1D,Dark,23.9072925,NA,NA,0.560890337,2.202255864,0.585953446,116.1375627,96.12448312,0.823415644,73.39236128,20.41533483,NA,94.12152798,1.641365527,10/5/2016,10/11/2016,80,LabDiet 5008 3.47kcal/g,3.47,15,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,1D,Gary A. Churchill,176.1804691,46.8762757,1633.226786,7529.722238,NA,52.85414074,14.06288271,13.46136809,39.39277265,489.9680359,2258.916672,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-1D-3053_Y1,Mouse,Whole Body,Y1_1D,Full day,23.9072925,NA,NA,0.465413625,1.744724083,0.43663874,96.63519969,79.33485458,0.811764801,60.56770846,15.90291076,NA,77.04687515,1.279310458,10/5/2016,10/11/2016,160,LabDiet 5008 3.47kcal/g,3.47,15,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,1D,Gary A. Churchill,279.1558533,69.86219844,2544.465722,12327.50002,NA,41.87337799,10.47932977,11.169927,30.70345099,381.6698582,1849.125004,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2020_Y1,Mouse,Whole Body,Y1_40,Light,23.9078642,NA,NA,0.297416458,0,0,63.034755,46.103895,0.732606063,9.472222215,0.474000001,NA,11.43602529,-0.297416458,6/29/2016,7/5/2016,81,LabDiet 5008 3.47kcal/g,3.47,17,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,0,0,38.39400007,926.3180486,NA,0,0,7.137994992,-7.137994992,11.37600002,274.464607,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2020_Y1,Mouse,Whole Body,Y1_40,Dark,23.9078642,NA,NA,0.350940663,0.626419582,0.077190417,74.19743083,55.13234312,0.740399701,43.71871923,3.888652831,NA,50.07288591,0.275478919,6/29/2016,7/5/2016,81,LabDiet 5008 3.47kcal/g,3.47,17,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,50.73998616,6.252423763,314.9808793,4055.903758,NA,15.03406997,1.852570004,8.422575912,6.611494056,93.32766794,1201.749262,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2020_Y1,Mouse,Whole Body,Y1_40,Full day,23.9078642,NA,NA,0.323775179,0.38543748,0.038595208,68.49500937,50.70586635,0.737143734,28.68229121,2.140574814,NA,33.78065748,0.061662301,6/29/2016,7/5/2016,162,LabDiet 5008 3.47kcal/g,3.47,17,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,62.44087174,6.252423767,346.7731199,5472.466512,NA,9.25049952,0.926285003,7.770604296,1.479895224,51.37379554,810.7357795,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2025_Y3,Mouse,Whole Body,Y3_40,Light,23.91286321,NA,NA,0.298114326,1.442636373,0.431683677,61.20215375,52.3249275,0.824845547,199.6944449,50.84483338,NA,208.881945,1.144522047,4/23/2018,4/29/2018,79.5,LabDiet 5008 3.47kcal/g,3.47,111,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,114.6895917,34.31885229,4042.164254,16606.11462,NA,34.62327295,10.36040824,7.154743824,27.46852913,1220.276001,5013.16668,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2025_Y3,Mouse,Whole Body,Y3_40,Dark,23.91286321,NA,NA,0.283161976,0.501349938,0.165162496,58.19264104,48.6680075,0.798837628,170.1805558,36.55854171,NA,175.965278,0.218187963,4/23/2018,4/29/2018,79.5,LabDiet 5008 3.47kcal/g,3.47,111,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,39.85732009,13.13041843,2906.404066,13989.2396,NA,12.03239851,3.963899903,6.795887424,5.236511112,877.405001,4223.166672,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-40-2025_Y3,Mouse,Whole Body,Y3_40,Full day,23.91286321,NA,NA,0.29442079,1.457537795,0.472840712,60.49008635,50.65947031,0.81579055,197.3090308,48.00677089,NA,207.2743086,1.163117005,4/23/2018,4/29/2018,159,LabDiet 5008 3.47kcal/g,3.47,111,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,40,Gary A. Churchill,231.7485093,75.18167328,7633.076572,32956.61506,NA,34.98090708,11.3481771,7.06609896,27.91480812,1152.162501,4974.583406,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-1D-3055_Y1,Mouse,Whole Body,Y1_1D,Light,23.91361688,NA,NA,0.418709167,2.160705573,0.665041499,86.61389583,72.36225375,0.799421812,139.4097223,13.25563497,NA,155.6527779,1.741996407,10/5/2016,10/11/2016,80,LabDiet 5008 3.47kcal/g,3.47,15,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,1D,Gary A. Churchill,172.8564459,53.20331989,1060.450797,12452.22223,NA,51.85693375,15.96099597,10.04902001,41.80791377,318.1352393,3735.66667,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
churchill_2024,DO-1D-3055_Y1,Mouse,Whole Body,Y1_1D,Dark,23.91361688,NA,NA,0.587436188,2.627691555,1.215360606,121.2966438,102.1535375,0.844584219,139.7151785,23.77130581,NA,164.1804563,2.040255368,10/5/2016,10/11/2016,80,LabDiet 5008 3.47kcal/g,3.47,15,NA,DO,female,25,0,Sable Systems: Promethion,39385029,The Jackson Laboratory,1D,Gary A. Churchill,210.2153244,97.2288485,1901.704465,13134.4365,NA,63.06459732,29.16865455,14.09846851,48.96612883,570.5113394,3940.330951,NA,NA,Weir,Nestlets; biotubes; gnawing blocks
