"","experiment_id","subject.id","species","tissue","Group","Time.of.day","Total.Mass","Lean.Mass","Fat.Mass","Energy.Expenditure..kcal.hr.","Food.Intake..kcal.hr.","Oxygen.Consumption..ml.hr.","Carbon.Dioxide.Production..ml.hr.","Respiratory.Exchange.Ratio","Locomotor.Activity..beam.breaks.hr.","Pedestrian.Locomotion..m.hr.","Body.Temperature..C.","Distance.in.Cage..m.hr.","Water.Intake..kcal.hr.","Energy.Balance..kcal.hr.","exp_time_start","exp_time_end","duration_hr","diet_names","dietCal","age","strain","genetic_background","sex","temperature","quality_score","system","pmid","location","treatment","investigator","Subject.ID","Total.Food..kcal.","Total.Drink..ml.","Pedestrian.Locomotion..m.","Distance.in.Cage.Locomotion..m.","litter","bedding","ee_calc","enrich"
"21","CalR000171","1_1","Mouse","Whole Body","AdCreERT2/+","Full day",24.5,19.96,3.32,0.0237369200960522,1.62214712777778,112.700690142857,107.997070290476,0.94647785452381,132.306349206349,11.8443194444444,-1,16.3091972222222,0.210929444444444,1.59841020768173,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_1",116.7945932,15.18692,430.6441,586.7101,8,"Corncob","Weir","Igloo (Plastic)"
"22","CalR000171","1_10","Mouse","Whole Body","+/+","Full day",22.6,18.94,3.33,0.0219412430982664,0.873203722222222,105.473591152381,90.9083039,0.845881589365079,109.240476190476,10.5024152777778,-1,14.049625,0.309159722222222,0.851262479123956,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_10",62.870668,22.2595,375.7436,497.0736,8,"Corncob","Weir","Igloo (Plastic)"
"23","CalR000171","1_11","Mouse","Whole Body","AdCreERT2/+","Full day",26.2,20.76,4.15,0.0226122646051605,1.53839565555555,109.476599390476,95.7596340571429,0.856102546031746,90.1936507936508,11.3964625,-1,14.2265916666667,0.187990138888889,1.5157833909504,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_11",110.7644872,13.53529,448.007,559.2346,8,"Corncob","Weir","Igloo (Plastic)"
"24","CalR000171","1_12","Mouse","Whole Body","+/+","Full day",24.6,18.14,5.99,0.0226418007998063,1.01112306666667,108.39747452381,93.5319942428571,0.847524274126984,114.127777777778,11.1073388888889,-1,15.1948791666667,0.241733888888889,0.98848126586686,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_12",72.8008608,17.40484,412.5839,551.3172,8,"Corncob","Weir","Igloo (Plastic)"
"25","CalR000171","1_13","Mouse","Whole Body","+/+","Full day",25.7,20.82,3.93,0.0247199480347348,1.50370296111111,118.98333712381,104.69416037619,0.860935897777778,112.146031746032,12.5781097222222,-1,16.5298333333333,0.29272,1.47898301307638,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_13",108.2666132,21.07584,447.327,586.5506,8,"Corncob","Weir","Igloo (Plastic)"
"26","CalR000171","1_14","Mouse","Whole Body","AdCreERT2/+","Full day",24.7,19.64,4.18,0.0244319001576968,1.00775837222222,117.481057380952,106.598062933333,0.894730990396825,145.199206349206,9.20168333333333,-1,14.0592138888889,0.305307916666667,0.983326472064526,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_14",72.5586028,21.98217,398.9126,583.8834,8,"Corncob","Weir","Igloo (Plastic)"
"27","CalR000171","1_15","Mouse","Whole Body","AdCreERT2/+","Full day",24.8,19.8,3.84,0.0228199547926102,0.978364144444445,110.813439619048,94.0197149857143,0.833949239920635,79.0230158730159,7.67915555555556,-1,10.5266625,0.161351944444445,0.955544189651835,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_15",70.4422184,11.61734,291.2424,394.2515,8,"Corncob","Weir","Igloo (Plastic)"
"28","CalR000171","1_16","Mouse","Whole Body","+/+","Full day",27.3,20.69,5.9,0.023726916098908,0.69052875,115.237631952381,98.8904700047619,0.83826405531746,96.6944444444444,11.4786972222222,-1,14.8372097222222,0.240970138888889,0.666801833901092,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_16",49.71807,17.34985,457.409,570.8239,8,"Corncob","Weir","Igloo (Plastic)"
"29","CalR000171","1_2","Mouse","Whole Body","+/+","Full day",28.8,22.56,4.94,0.021127865415786,1.44200568888889,103.0436813,88.7193968,0.844804926666667,102.268253968254,10.1103291666667,-1,13.5439236111111,0.163030833333333,1.4208778234731,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_2",103.8244096,11.73822,377.5355,502.9544,8,"Corncob","Weir","Igloo (Plastic)"
"30","CalR000171","1_3","Mouse","Whole Body","+/+","Full day",26.4,20.55,4.72,0.0224998973534999,1.99721686111111,109.037091095238,97.453050652381,0.87695560984127,128.39126984127,10.7371625,-1,14.7953236111111,0.223434027777778,1.97471696375761,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_3",143.799614,16.08725,433.4686,582.937,8,"Corncob","Weir","Igloo (Plastic)"
"31","CalR000171","1_4","Mouse","Whole Body","AdCreERT2/+","Full day",26.5,21.09,4.36,0.0201092283911408,0.768202016666667,98.3923477428571,82.4574741047619,0.820481280873016,101.314285714286,6.87520833333333,-1,10.3126402777778,0.156344722222222,0.748092788275526,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_4",55.3105452,11.25682,295.301,424.7889,8,"Corncob","Weir","Igloo (Plastic)"
"32","CalR000171","1_5","Mouse","Whole Body","AdCreERT2/+","Full day",27.8,22.24,4.34,0.0247272850178014,3.08677167222222,118.517841285714,112.291920133333,0.93472964515873,125.160317460318,6.57902638888889,-1,10.7456972222222,0.370212222222222,3.06204438720442,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_5",222.2475604,26.65528,264.5517,427.4297,8,"Corncob","Weir","Igloo (Plastic)"
"33","CalR000171","1_7","Mouse","Whole Body","+/+","Full day",25.4,19.37,4.06,0.0209242395054599,0.72466915,101.757951619048,87.8851200476191,0.85762278531746,90.1126984126984,7.57643333333333,-1,10.4393833333333,0.162563055555556,0.70374491049454,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_7",52.1761788,11.70454,301.7001,411.3034,8,"Corncob","Weir","Igloo (Plastic)"
"34","CalR000171","1_8","Mouse","Whole Body","AdCreERT2/+","Full day",24.8,19.28,4.57,0.0215232743140474,0.649674288888889,104.166452752381,91.9623676380952,0.873168066746032,87.0134920634921,8.98089722222222,-1,11.6965986111111,0.214988055555556,0.628151014574841,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","1_8",46.7765488,15.47914,367.2727,468.6267,8,"Corncob","Weir","Igloo (Plastic)"
"35","CalR000171","2_25","Mouse","Whole Body","+/+","Full day",25.7,19.99,4.35,0.0229838712720788,1.21291771111111,112.734895238095,97.3360685333333,0.853912994206349,76.0134920634921,7.91858055555555,-1,10.7166791666667,0.145691763888889,1.18993383983903,"2024-06-21T14:33:37Z","2024-06-24T05:33:37Z",63,"LabDiet 5008 3.56kcal/g",3.56,10,"Smad AdCreERT2/+","C57Bl/6","female",23,0,"Sable Systems: Promethion",NA,"BIDMC","none","Deepti_Ramachandran","2_25",87.3300752,10.489807,324.2119,426.9436,8,"Corncob","Weir","Igloo (Plastic)"
